prompt,phrase
Infected wound,My son squeezed a pimple and it broke open only to scab over and now looks like it is infected.
Internal pain,I have a pain internal
Foot ache,The nerves were so damaged during the operation on my ankle that I cannot stand being touched on the scar.
Heart hurts,I cannot breathe because of this dull ache below my left shoulder.
Neck pain,stiffness inability to look right or left except by moving the whole body
Heart hurts,severe pain in the upper left side of chest and may have pain to back
Muscle pain,I had alot of exercise yesterday so i feel sharp muscle pains
Skin issue,there is a red stain in my skin
Hair falling out,when i was washing my hair it was falling out heavily
Muscle pain,There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.
Skin issue,I have this strange rash on my arm.
Heart hurts,I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.
Infected wound,My infected wound caused a fever
Shoulder pain,It feels like someone stuck a knife into my shoulder
Back pain,When I carry heavy things i feel like breaking my back
Knee pain,My knees swell right below the knee cap and hurt when I put weight on them.
Infected wound,my hand open wound got infected
Shoulder pain,Why is my shoulder aching when I try to pick up the laundry?
Foot ache,I can't really jump on my left foot because my triple fracture of the ankle left me with neverending pains.
Head ache,I have a headache every time I eat ice cream
Feeling cold,I cannot get warm no matter how much I wrap up or how high I put the heating on
Emotional pain,"My mind feels very sad, as if it hurts.  The way I feel in my head is awful and when I think about my break-up, I cry with sadness."
Hard to breath,In the morning my respiration is loud.
Shoulder pain,My shoulder hurts when I try to reach something above my head.
Open wound,My sore isn't healing well and it's been like this for two weeks.
Head ache,My head hurts in the back and the pain lasts all day.
Ear ache,My ear is ringing.
Acne,Is pimples a skin disease?
Knee pain,My knee feels weak and it gave way the other day at the top of the stairs.  Luckily there was a rail to hold on to.
Hard to breath,i can hardly breathe
Feeling dizzy,My head is spinning when I get up.
Stomach ache,cramps along the whole abdomen
Shoulder pain,It hurts when I raise my arm up
Stomach ache,I made lots and lots of analysis to know the main reason for my stomach ache
Body feels weak,"My body feels weak after my first day in the gym, why?"
Infected wound,My sore looks like its not healing well.
Foot ache,I knocked my foot and it really hurts.
Feeling dizzy,I feel dizzy whenever I stand up.
Heart hurts,Oh my heart hurts me I tried to be calm and I can't
Muscle pain,My biceps started aching after I went to the gym
Blurry vision,"I have a blurry vision since I woke up this morning, what could be the reason?"
Hard to breath,I have difficulty in breathing in crowded places.
Knee pain,Chronic bone disease at the level of the doubles of the lower Estremidades
Injury from sports,"i was playing basketball yesterday, i have sprained ankle"
Feeling dizzy,My head gets dizzy when I try to get up.
Foot ache,there pain in my foot
Joint pain,I feel a sharp pain in my ankle joint when I stand.
Feeling cold,i feel cold
Blurry vision,"I have a blurry vision since I woke up this morning, what could be the reason?"
Knee pain,My knee catches and hurts when I first stand up after sitting.
Body feels weak,Sometimes my body feels week without reason
Heart hurts,"My heart hurts while I'm sad, why?"
Stomach ache,i have a hard pain in my stomach
Head ache,I have a headache almost every day
Cough,Have severe cold and cough
Acne,I get big patches of irritated pimples on my back and they hurt.
Emotional pain,i feel sad
Infected wound,My kee is swallowing which indicates i have an infected wound
Acne,Is there a cure for acne?
Knee pain,having difficulty moving my knee
Feeling cold,I feel cold when the night comes
Hard to breath,My chest hurts when I go to take a breath
Infected wound,My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.
Head ache,i have a migrain and i took panadol but it doesnÃ¢Ë†Å¡ÃƒÂ¯t help
Muscle pain,There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.
Body feels weak,I've always been very active but now I just don't have the strength or energy to go for even a short walk.
Knee pain,"i can't walk, my knee hurts me"
Shoulder pain,i feel that is great pain in my left shoulder
Hair falling out,My hair always falls out and i have lost a lot of hair lately
Ear ache,i have a problem in my middle ear made by infection
Back pain,longitudinal burning line across back with hard respiratory movements
Cough,i have severe dry cough
Joint pain,i have pain like needles in my joints.
Skin issue,I feel like l fell in hot water
Feeling dizzy,"Every time I make an effort, I felt dizzy."
Skin issue,I have found some issues in my skin and tried to use cream but it doesn't get better
Feeling cold,My body feels like it's in a refrigerator.
Internal pain,I always feel like I have menstrual pains even if I don't have my period.
Hard to breath,I have difficulty in breathing in crowded places.
Stomach ache,The severe pain in the stomach I feel
Head ache,I feel a sharp pain in my head when I think too hard.
Foot ache,I have a foot ache although I don't walk a lot.
Acne,chronic disease of hair follicles and sebaceous glands.
Hard to breath,I don't have problems taking in breath but out breath is so heavy
Foot ache,I can't walk because i have a great foot ache
Internal pain,I have internal pain whenever I come down with a cold.
Knee pain,My knee hurts when I walk
Joint pain,My knee is hurting so badly.
Blurry vision,i can't ride my car at night because i have blurry vision.
Shoulder pain,I feel pain in my shoulders when I write on the keyboard.
Cough,I can't stop coughing
Ear ache,I had a cold the last time I travelled by plane and I still have a discomfort in my ears.
Hair falling out,Mr hair is falling out just by combing it.
Feeling dizzy,When I stand up too quickly I start to feel dizzy and light-headed
Feeling dizzy,I feel dizzy whenever I stand up.
Cough,I can`t stop coughing.
Stomach ache,I'm feeling nauseous
Feeling dizzy,"when i get up, i feel dizzy and fall down."
Internal pain,i feel pain in my body
Acne,The acne was causing me to feel embarrassed.
Feeling cold,"I am always cold, even when I am wearing layers"
Head ache,I feel pain in my head with a vertigo
Hair falling out,when i was washing my hair it was falling out heavily
Infected wound,My infected wound caused a fever
Head ache,My head hurts when I'm doing this.
Shoulder pain,There feels like a swollen knot at my shoulderblade with pain shooting from that
Foot ache,I love to walk and be outside but the bottoms of my feet get sore so quickly.
Ear ache,My ear ache when I'm listening to music.
Injury from sports,i'm injured i can't play sports
Foot ache,I have a foot ache although I don't walk a lot.
Shoulder pain,I feel shoulder pain at intervals of time.
Body feels weak,"I get tired too fast, I can barely put on my clothes in the morning."
Internal pain,i feel pain in my body
Feeling cold,I just can't seem to get warm.  Even when everyone around me is warm I always feel cold.
Stomach ache,When i eat i feel my stomach hurts
Hard to breath,My grandmother last year went to hospital because she was having a hard time breathing
Blurry vision,I can't see the sign I have a blurry vision
Muscle pain,My muscle in my shoulder burns when I move my arm.
Joint pain,I have a feeling like my whole body is complaining
Feeling cold,I think my body temperature is very low.
Muscle pain,i have a pain in my trapes
Back pain,My upper back has been sore for a week.
Knee pain,My knees ache on cold and rainy days.
Knee pain,My knee feels weak and it gave way the other day at the top of the stairs.  Luckily there was a rail to hold on to.
Internal pain,What's the symptoms of appendicitis?
Ear ache,It itches inside my ears.
Neck pain,There is a tingling sensation in my neck.
